name,address,count,phone,email,facility,hospitalType,hospitalCode,latitude,longitude,campSource,stockSource,distId,stateCode,type,dist
Akshaya Voluntary Blood Centre,"968, 41 Cross, 3rd Block, opp to ESI Hospital, Near Kapilsagar Hotel,, Rajajinagar, Bangalore , Bangalore, Dist. Bangalore Urban",119,9880612994,akshaybb02@gmail.com,,Private,15082,12.989853,77.552805,2,2,572,29,Blood Bank,
Amulya Blood Centre Amulya Trust,"R N Arcade, No.13. 2 nd Floor, 60 feet Road, 2 nd Stage, KHB Colony, Basaveshwar Nagar, Bangalore, Dist. Bangalore Urban",119,8884881610,amulyatrust1999@gmail.com,,Charitable/Vol,285131,12.9880587,77.5334038,2,2,572,29,Blood Bank,
Anekal (Bsu),"Bangalore, , Dist. Bangalore Urban",119,,,,Govt.,281159,12.82689,77.67241,0,2,572,29,BSU,
Apollo Hospitals A Unit Of Imperial Cancer Hospital And Research Centre Limited,"154/11, Opp.I.I.M Bannerghatta Road, Bangalore, Dist. Bangalore Urban",119,"9845926164,8026304050",jagstarl@gmail.com,,Private,15113,12.89643,77.598015,2,2,572,29,Blood Bank,
Apollo Hospitals Enterprises Ltd Blood Centre,"No.01,Old No.28, Plat Form Road,,Near Mantri Mall, Sheshadripuram,Bangalore, Bangalore, Dist. Bangalore Urban",119,080-46688719/20,bloodbank_ssp@apollohospitals.com,,Private,280379,12.98842,77.572569,2,2,572,29,Blood Bank,
Apollo Speciality Hospital Blood Storage Centre Bsu,"M/s.Apollo Speciality Hospitals,  New No 2, Old No. 21/2, 14th cross,  Jayanagar 3rd Block,  Bengaluru, Dist. Bangalore Urban",119,9880243485,drsusmitha_cs@apollohospitals.com,,Private,283173,13.0,77.583333,2,2,572,29,Blood Bank,
Aster Hospital Whitefield Blood Centre,"Aster hospital whitefield blood centre, plot no 2,3, &4 2nd floor sadarmangala industrial area, off ITPL main road, whitefield bengaluru, karnataka, India, Bengaluru, Dist. Bangalore Urban",119,8951386527,bloodcenter.whitefield@asterhospital.com,,Private,284417,13.0,77.583333,2,2,572,29,Blood Bank,
Bangalore Baptist Hospital Blood Centre,"1/B-1 second floor Bellary Road, Hebbal, Bangalore, Dist. Bangalore Urban",119,0802240243,bloodbank@bbh.org.in,,Private,15007,12.9716,77.59456,2,2,572,29,Blood Bank,
Bangalore Blood Centre And Diagnostic Laboratory," R.S Plaza btween 6th,7th cross,apposite R.R gold palace Sampige road   Malleshwaram,    Bengaluru, Bangalore, Dist. Bangalore Urban",119,"9886747992,8023347714",gayatri_bloodbank@yahoo.co.in,,Private,15001,12.99951,77.56951,2,2,572,29,Blood Bank,
Bangalore Institute Of Oncololgy,"No. 8, P. Kalinga Rao Road, Sampangiram Nagar, Bangalore, Dist. Bangalore Urban",119,"080-40206000, 40206001, 40206002",info@hcgoncology.com,,Private,15118,12.96358,77.58951,2,2,572,29,Blood Bank,
