hospital_name,week_index,blood_group,units_required,is_holiday,avg_temp
Hospital_0,0,A+,13,True,23.46724899694914
Hospital_0,0,A-,20,True,22.68237003119259
Hospital_0,0,B+,6,True,24.145649778222626
Hospital_0,0,B-,5,True,22.320567673913747
Hospital_0,0,AB+,4,True,24.10476722833793
Hospital_0,0,AB-,17,True,23.080729883631804
Hospital_0,0,O+,16,True,21.215174711121726
Hospital_0,0,O-,13,True,23.45946601367112
Hospital_0,1,A+,15,False,25.200801845523117
Hospital_0,1,A-,12,False,22.832847505677524
Hospital_0,1,B+,3,False,22.300496497041298
Hospital_0,1,B-,4,False,25.445640201385324
Hospital_0,1,AB+,8,False,22.493020083094546
Hospital_0,1,AB-,17,False,21.50786569286128
Hospital_0,1,O+,16,False,21.523726824559294
Hospital_0,1,O-,13,False,25.24412039246699
Hospital_0,2,A+,6,False,23.26948448779851
Hospital_0,2,A-,13,False,23.754597995716082
Hospital_0,2,B+,11,False,25.57111355014098
Hospital_0,2,B-,18,False,21.704404414138168
Hospital_0,2,AB+,8,False,22.302919317137757
Hospital_0,2,AB-,7,False,22.053430118104124
Hospital_0,2,O+,10,False,25.4971256294308
Hospital_0,2,O-,13,False,25.984078207009624
Hospital_0,3,A+,23,False,25.01364783543584
Hospital_0,3,A-,13,False,22.634714706086342
Hospital_0,3,B+,23,False,25.664854250986426
Hospital_0,3,B-,10,False,24.069294229341377
Hospital_0,3,AB+,15,False,23.853158319780693
Hospital_0,3,AB-,5,False,23.723716222701288
Hospital_0,3,O+,12,False,24.58129322623207
Hospital_0,3,O-,17,False,24.63000783145929
Hospital_0,4,A+,8,False,24.227437351811822
Hospital_0,4,A-,14,False,25.9479980773109
Hospital_0,4,B+,23,False,26.219616129286138
Hospital_0,4,B-,6,False,27.15303470906292
Hospital_0,4,AB+,10,False,24.247875271849814
Hospital_0,4,AB-,10,False,24.49285301802511
Hospital_0,4,O+,14,False,25.196482577415857
Hospital_0,4,O-,15,False,24.92947833301888
Hospital_0,5,A+,25,False,27.79918227366456
Hospital_0,5,A-,7,False,25.210679407369984
Hospital_0,5,B+,12,False,25.394169964226077
Hospital_0,5,B-,13,False,24.27337949374881
Hospital_0,5,AB+,7,False,27.30669865625067
Hospital_0,5,AB-,12,False,26.936563191748554
Hospital_0,5,O+,18,False,26.89114631157327
Hospital_0,5,O-,15,False,26.214168653572393
Hospital_0,6,A+,11,False,26.960397993027534
Hospital_0,6,A-,18,False,25.196135424716946
Hospital_0,6,B+,12,False,25.293279863733037
Hospital_0,6,B-,20,False,25.07623098699534
Hospital_0,6,AB+,16,False,24.69327685558336
Hospital_0,6,AB-,18,False,24.285272365612855
Hospital_0,6,O+,13,False,24.66022273221229
Hospital_0,6,O-,21,False,25.421151029929195
Hospital_0,7,A+,26,False,27.90269542488865
Hospital_0,7,A-,15,False,28.230853225759184
Hospital_0,7,B+,16,False,28.327703078466946
Hospital_0,7,B-,7,False,25.335370317576057
Hospital_0,7,AB+,13,False,26.415789483634537
Hospital_0,7,AB-,18,False,25.192453688362342
Hospital_0,7,O+,16,False,28.66889241432335
Hospital_0,7,O-,21,False,27.301605628242815
Hospital_0,8,A+,14,False,25.809610173235384
Hospital_0,8,A-,11,False,27.504242492510578
Hospital_0,8,B+,21,False,27.208858901060033
Hospital_0,8,B-,10,False,25.97103451287464
Hospital_0,8,AB+,19,False,24.932962600263355
Hospital_0,8,AB-,6,False,24.26319389141871
Hospital_0,8,O+,20,False,24.86863369498552
Hospital_0,8,O-,26,False,28.088705497183255
Hospital_0,9,A+,13,False,25.838224367224726
Hospital_0,9,A-,24,False,26.993739106593978
Hospital_0,9,B+,14,False,28.314607342662622
Hospital_0,9,B-,17,False,25.89243748737027
Hospital_0,9,AB+,26,False,27.977422096169512
Hospital_0,9,AB-,23,False,26.389812581717354
Hospital_0,9,O+,6,False,27.60297426914238
Hospital_0,9,O-,7,False,27.759175749663797
Hospital_0,10,A+,18,True,26.581052733249074
Hospital_0,10,A-,16,True,25.632419109304134
Hospital_0,10,B+,13,True,28.823483862140385
Hospital_0,10,B-,17,True,27.263218258709955
Hospital_0,10,AB+,27,True,25.035364753863146
Hospital_0,10,AB-,24,True,25.873667988662923
Hospital_0,10,O+,16,True,28.40440667344258
Hospital_0,10,O-,14,True,26.109138033101694
Hospital_0,11,A+,20,False,25.44479320612653
Hospital_0,11,A-,12,False,26.59575962220979
Hospital_0,11,B+,16,False,26.617711215585583
Hospital_0,11,B-,8,False,29.491039695115123
Hospital_0,11,AB+,17,False,29.0479229090674
Hospital_0,11,AB-,9,False,29.00200300441984
Hospital_0,11,O+,21,False,26.862427770729685
Hospital_0,11,O-,8,False,29.146618835590388
Hospital_0,12,A+,20,False,25.21152944447514
Hospital_0,12,A-,18,False,27.998782562242052
Hospital_0,12,B+,24,False,27.559075758434336
Hospital_0,12,B-,18,False,26.008937395163052
Hospital_0,12,AB+,10,False,29.2985966332872
Hospital_0,12,AB-,21,False,25.75436364690442
Hospital_0,12,O+,25,False,29.767741054748043
Hospital_0,12,O-,23,False,29.080335757923358
Hospital_0,13,A+,20,False,25.092706934898782
Hospital_0,13,A-,24,False,26.16023770921855
Hospital_0,13,B+,27,False,27.218752069785875
Hospital_0,13,B-,10,False,26.081878061833137
Hospital_0,13,AB+,26,False,25.854861250500488
Hospital_0,13,AB-,13,False,25.02230712648072
Hospital_0,13,O+,12,False,27.90832779001612
Hospital_0,13,O-,14,False,29.348810984421558
Hospital_0,14,A+,22,False,27.356211868043502
Hospital_0,14,A-,22,False,29.67053769284057
Hospital_0,14,B+,23,False,29.951377910600677
Hospital_0,14,B-,20,False,27.145902468918344
Hospital_0,14,AB+,12,False,29.737308332031365
Hospital_0,14,AB-,25,False,28.359212443924914
Hospital_0,14,O+,12,False,26.482271589528555
Hospital_0,14,O-,18,False,26.630650563390105
Hospital_0,15,A+,19,False,25.145260514347733
Hospital_0,15,A-,11,False,29.632180861766567
Hospital_0,15,B+,13,False,25.806309948184833
Hospital_0,15,B-,15,False,29.789052004775126
Hospital_0,15,AB+,14,False,24.858776067442797
Hospital_0,15,AB-,17,False,27.54614747462041
Hospital_0,15,O+,24,False,26.235407621364875
Hospital_0,15,O-,24,False,24.925902394041046
Hospital_0,16,A+,22,False,27.546526089539697
Hospital_0,16,A-,14,False,28.160181336817956
Hospital_0,16,B+,27,False,29.591603213798585
Hospital_0,16,B-,19,False,25.288643312756832
Hospital_0,16,AB+,12,False,28.67463500936234
Hospital_0,16,AB-,20,False,26.26410410778523
Hospital_0,16,O+,14,False,24.985814706541863
Hospital_0,16,O-,15,False,25.272601887650566
Hospital_0,17,A+,20,False,24.95816569336861
Hospital_0,17,A-,14,False,29.08050048058381
Hospital_0,17,B+,10,False,26.770269185935767
Hospital_0,17,B-,21,False,29.01978491896202
Hospital_0,17,AB+,22,False,27.87968753196278
Hospital_0,17,AB-,18,False,24.759976997669664
