blood_bank_name,state,district,city,address,mobile,category,latitude,longitude
G.B. Pant Hospital Blood bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,Atlanta PointNear Cellular JailP.O. Aberdeen Bazaar,9434266561,Government,11.675442,92.747338
I.N.H.S. Dhanvantri,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Ashvini Nagar, Port Blair, Andaman and Nicobar Islands.",8001452200,Government,11.649693,92.717418
Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Lamba Line,P.B. 526,P.O. Junglighat, Opposite Airport",9474247585,Charity,11.653229,92.730714
"Indian Red Cross Society Blood Bank, District Branch",Andhra Pradesh,ANANTAPUR,Anantapur,"Near JNTU Engeneering College, Sarada Nagar, Ananthapur.",9441192365,Charity,14.654936,77.609915
Government General Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Ananthapur,"Government General Hospital, Ananthapur",9866695858,Government,14.671459,77.596684
Indian Red Cross Society,Andhra Pradesh,ANANTAPUR,Ananthapur,"Blood Bank Medical Officer,Blood Bank, Indian Red Cross Society, Anantpur",9866023293,Charity,14.681888,77.600591
Rural Development Trust Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Bathalapalli,"Kadiri Road, Bathalapalli, Ananthapur",9493268861,Charity,14.652907,77.618826
South Central Railway Hospital Blood Bank,Andhra Pradesh,ANANTAPUR,Guntakal,"S.C. Railway Hospital, Guntakal, Ananthapuramu",9701374501,Government,15.172889,77.366103
Indian Red Cross Society Blood Bank,Andhra Pradesh,ANANTAPUR,Hindupur,"Government General Hospital Blood Bank, Hindupur, Ananthapur",9876543210,Charity,13.832533,77.492214
Indian Red Cross Society Blood bank RCH -II KADIRI,Andhra Pradesh,ANANTAPUR,Kadiri,"Ground Floor, APVVP (Government General Hospital) Area Hospital, Kadiri, Ananthapur",9989738689,Government,14.113089,78.157366
S.S.S.I.H.M.S. Blood Bank,Andhra Pradesh,ANANTAPUR,Puttaparthy,"Prasanthigram, Puttaparthy, Ananthapuramu",9490360321,Government,14.151889,77.77685
District Head Quarters Hospital Blood Bank.,Andhra Pradesh,CHITTOOR,Chittoor,"Head Quarters  Hospital Compound, Chittoor",9849229482,Government,13.217176,79.100329
Indian Red Cross Society,Andhra Pradesh,CHITTOOR,Chittoor,"The Secretary, Indian Red Cross Society, DNo20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph08572 220287",9876543210,Charity,13.217176,79.100329
M/s IRCS Blood Bank.,Andhra Pradesh,CHITTOOR,Chittoor,"D.No. 20 - 119, Prakasam High Road, Chittor",9849229482,Charity,13.21698,79.100764
M/s PESIMSR Blood Bank.,Andhra Pradesh,CHITTOOR,Kuppam,"PES Institute of medical sciences premises, Kuppam",9391833741,Private,12.791223,78.363897
Blood Bank AH Madanapalli,Andhra Pradesh,CHITTOOR,Madanapalli,"The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",9876543210,Charity,13.217176,79.100329
"Indian Red Cross Society, Madanapalli RCH 2",Andhra Pradesh,CHITTOOR,Madnapalli,"Area Hospital, Patel Road, Madanapalli.",9440580272,Government,13.556927,78.50085
"Aswini Hospital Blood Bank, TTD",Andhra Pradesh,CHITTOOR,Tirumala,"Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor",9490651605,Charity,13.677292,79.3487
SVRRGGH - Model Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"S.V.R.R. Government General Hospital, Tirupati",9876543210,Government,13.644382,79.407003
Sri Venkateswara Institute of Medical sciences Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",9876543210,Charity,13.637934,79.403917
Govt Maternity Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Ruia Hospital Road, Tirupati",9949190197,Government,13.639418,79.409372
TTD Central Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati",9849099750,Charity,13.642148,79.421067
Government Hospital,Andhra Pradesh,EAST GODAVARI,Amalapuram,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",9989106236,Government,16.587432,82.008431
"M/S. Kims  Research Foundation, Hospital Blood Bank",Andhra Pradesh,EAST GODAVARI,Amalapuram,"Kims  Research Foundation, Hospital Blood Bank, Sy.No813  817, Kamanagaruvu, Near Red Bridge, Amalapuram.",9949993495,Charity,16.592169,82.024025
M/s. A.P.V.V.P Area Hospital Blood Bank,Andhra Pradesh,EAST GODAVARI,Amalapuram,"Ground Floor Area Hospital, Amalapuram",0950515223,Government,16.575367,81.998101
"M/s. Government General Hospital, Blood Bank.",Andhra Pradesh,EAST GODAVARI,Kakinada,"Government General Premises, Ground Floor, Kakinada",9390207027,Charity,16.955537,82.22748
M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,EAST GODAVARI,Kakinada,"D.No 8-14-39, Ground  1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",9848071868,Charity,16.989065,82.247465
District Headquarters Hospital,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",9849520969,Government,17.019708,81.791631
M/S. Dhanwantari Voluntary Blood Bank.,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"D.No46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",9885186533,Charity,17.00787,81.785213
M/s. Government Area General Hospital Blood Bank.,Andhra Pradesh,EAST GODAVARI,Tuni,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni",0984903090,Government,17.354937,82.541241
Government General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.",9966641474,Government,16.299747,80.443689
Indian Red Cross Society,Andhra Pradesh,GUNTUR,Guntur,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",9985322589,Charity,16.306653,80.43654
Indian Red Cross Society Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Zilla Parishad Compound, Nagarampalem, GUNTUR",0984818160,Charity,16.306653,80.43654
M/s. Needs Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta",9246448899,Charity,16.29882,80.448888
Saint Joseph General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur",9493819977,Charity,16.297514,80.440648
Katuri Medical College and Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur Rural,"Katuri Nagar, Chinakondrupadu, Guntur",9876543210,Private,16.227872,80.30947
NRI Medical College and General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur Rural,"Mangalagiri Mandalam, Chinakakani, Guntur",0984998981,Private,16.413675,80.555675
Manipal Hospital Bloodbank,Andhra Pradesh,GUNTUR,Guntur Rural,"Soumyanagar, Tadepalli, Guntur",9876543210,Private,16.484433,80.617219
Indian Red Cross Society Blood Bank. Narassraopet,Andhra Pradesh,GUNTUR,Narasaraopeta,"Area Hospital, Narasaraopeta",0988522215,Charity,16.235919,80.048412
NRT Blood Bank,Andhra Pradesh,GUNTUR,Narasaraopeta,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta",9985148884,Private,16.193331,80.019956
Anjireddy Multi Specality Blood Bank,Andhra Pradesh,GUNTUR,Piduguralla,"Gaganamma Temple, Piduguralla",9849212042,Private,16.478789,79.893642
